#Names	beta-glucan	cellulose	chitin	lignin	mannan	pectin	starch	xylan	xyloglucan
Aciculoconidium aculeatum	10.0	9.0	67.0	7.0	12.0	0.0	8.0	9.0	16.0
Alloascoidea hylecoeti	13.0	31.0	19.0	9.0	23.0	11.0	12.0	19.0	39.0
Ambrosiozyma ambrosiae	10.0	18.0	10.0	9.0	18.0	1.0	13.0	16.0	26.0
Ambrosiozyma kashinagacola	4.0	9.0	7.0	8.0	12.0	0.0	9.0	8.0	14.0
Ambrosiozyma maleeae	4.0	9.0	8.0	7.0	11.0	0.0	8.0	8.0	12.0
Ambrosiozyma monospora	10.0	35.0	21.0	14.0	26.0	11.0	14.0	18.0	38.0
Ambrosiozyma oregonensis	12.0	23.0	13.0	12.0	17.0	7.0	15.0	17.0	28.0
Ambrosiozyma philentoma	16.0	28.0	10.0	9.0	16.0	6.0	15.0	17.0	35.0
Ambrosiozyma pseudovanderkliftii	4.0	13.0	6.0	7.0	17.0	0.0	11.0	9.0	18.0
Ambrosiozyma vanderkliftii	3.0	11.0	6.0	6.0	17.0	0.0	10.0	9.0	16.0
Blastobotrys adeninivorans	14.0	27.0	15.0	9.0	18.0	1.0	12.0	25.0	29.0
Ascoidea asiatica	11.0	35.0	12.0	8.0	20.0	15.0	10.0	21.0	33.0
Ascoidea rubescens	6.0	19.0	11.0	7.0	14.0	1.0	12.0	11.0	19.0
Ashbya aceri	3.0	5.0	5.0	8.0	8.0	1.0	7.0	8.0	9.0
Babjeviella inositovora	13.0	12.0	10.0	7.0	12.0	0.0	13.0	13.0	20.0
Barnettozyma californica	7.0	16.0	7.0	5.0	13.0	2.0	14.0	12.0	18.0
Barnettozyma hawaiiensis	7.0	9.0	7.0	5.0	11.0	1.0	9.0	10.0	14.0
Barnettozyma populi	8.0	15.0	7.0	6.0	13.0	1.0	9.0	12.0	17.0
Barnettozyma pratensis	9.0	13.0	9.0	11.0	13.0	2.0	10.0	16.0	20.0
Barnettozyma salicaria	6.0	10.0	8.0	8.0	11.0	2.0	9.0	11.0	16.0
Blastobotrys americana	11.0	18.0	16.0	9.0	21.0	0.0	13.0	16.0	29.0
Blastobotrys mokoenaii	12.0	28.0	15.0	6.0	25.0	4.0	18.0	32.0	37.0
Blastobotrys muscicola	9.0	14.0	25.0	6.0	23.0	0.0	10.0	13.0	33.0
Blastobotrys nivea	11.0	26.0	19.0	8.0	27.0	2.0	10.0	29.0	24.0
Blastobotrys peoriensis	19.0	36.0	16.0	12.0	34.0	0.0	16.0	32.0	49.0
Blastobotrys proliferans	19.0	37.0	28.0	8.0	37.0	11.0	15.0	27.0	45.0
Blastobotrys raffinosifermentans	15.0	25.0	15.0	8.0	17.0	1.0	12.0	28.0	29.0
Blastobotrys serpentis	10.0	23.0	19.0	7.0	23.0	1.0	13.0	18.0	31.0
Botryozyma nematodophila	4.0	5.0	8.0	4.0	8.0	0.0	6.0	7.0	10.0
Brettanomyces anomalus	6.0	10.0	5.0	8.0	10.0	0.0	11.0	11.0	17.0
