genome	organism	genes_before_filter	genes_after_filter	difference
Candida_albicans_SC5314_A22_current_default_protein	candida_albicans	6226	6158	68
Saccharomyces_cerevisiae_S288C_protein	saccharomyces_cerevisiae	5917	5713	204
alloascoidea_hylecoeti	alloascoidea_hylecoeti	9631	9539	92
ambrosiozyma_kashinagacola	ambrosiozyma_kashinagacola	5611	5594	17
ambrosiozyma_monospora	ambrosiozyma_monospora	7752	7670	82
arxula_adeninivorans	arxula_adeninivorans	5939	5934	5
ascoidea_asiatica	ascoidea_asiatica	7632	7533	99
ascoidea_rubescens	ascoidea_rubescens	6318	6255	63
ashbya_aceri	ashbya_aceri	4322	4310	12
babjeviella_inositovora	babjeviella_inositovora	5752	5743	9
brettanomyces_anomalus	brettanomyces_anomalus	5423	5396	27
candida_apicola	candida_apicola	4833	4831	2
candida_arabinofermentans	candida_arabinofermentans	5674	5665	9
candida_auris	candida_auris	5207	5198	9
candida_boidinii_JCM9604	candida_boidinii	6029	6021	8
candida_carpophila	candida_carpophila	4920	4915	5
candida_dubliniensis	candida_dubliniensis	5949	5898	51
candida_glabrata	candida_glabrata	5143	5121	22
candida_homilentoma	candida_homilentoma	5435	5428	7
candida_infanticola	candida_infanticola	4489	4461	28
candida_intermedia	candida_intermedia	5533	5525	8
candida_orthopsilosis	candida_orthopsilosis	5212	5211	1
candida_parapsilosis	candida_parapsilosis	5280	5228	52
candida_sojae	candida_sojae	5083	4917	166
candida_sorboxylosa	candida_sorboxylosa	4456	4438	18
candida_succiphila	candida_succiphila	5254	5247	7
candida_tanzawaensis	candida_tanzawaensis	5321	5314	7
candida_tenuis	candida_tenuis	4945	4940	5
candida_tropicalis	candida_tropicalis	5975	5913	62
candida_versatilis	candida_versatilis	5476	5460	16
clavispora_lusitaniae	clavispora_lusitaniae	5149	5144	5
cyberlindnera_fabianii_JCM3601	cyberlindnera_fabianii	5752	5738	14
cyberlindnera_jadinii	cyberlindnera_jadinii	5860	5788	72
debaryomyces_hansenii	debaryomyces_hansenii	5806	5790	16
dekkera_bruxellensis	dekkera_bruxellensis	5600	5526	74
eremothecium_coryli	eremothecium_coryli	4439	4430	9
eremothecium_cymbalariae	eremothecium_cymbalariae	4471	4466	5
eremothecium_gossypii	eremothecium_gossypii	4327	4308	19
eremothecium_sinecaudum	eremothecium_sinecaudum	4314	4293	21
geotrichum_candidum	geotrichum_candidum	7139	7099	40
hanseniaspora_uvarum	hanseniaspora_uvarum	4256	4128	128
hanseniaspora_valbyensis	hanseniaspora_valbyensis	5010	4869	141
hanseniaspora_vinae	hanseniaspora_vinae	4661	4632	29
hyphopichia_burtonii	hyphopichia_burtonii	5189	5182	7
kazachstania_africana	kazachstania_africana	5122	5087	35
kazachstania_naganishii	kazachstania_naganishii	4925	4892	33
kluyveromyces_lactis	kluyveromyces_lactis	4962	4925	37
kluyveromyces_marxianus	kluyveromyces_marxianus	5110	5019	91
komagataella_pastoris	komagataella_pastoris	4831	4829	2
kuraishia_capsulata	kuraishia_capsulata	5553	5550	3
lachancea_cidri	lachancea_cidri	4740	4730	10
lachancea_dasiensis	lachancea_dasiensis	4889	4875	14
lachancea_fantastica	lachancea_fantastica	5002	4972	30
lachancea_fermentati	lachancea_fermentati	4879	4866	13
lachancea_kluyveri	lachancea_kluyveri	5189	5178	11
lachancea_lanzarotensis	lachancea_lanzarotensis	4871	4866	5
lachancea_meyersii	lachancea_meyersii	4955	4945	10
lachancea_mirantina	lachancea_mirantina	4852	4840	12
lachancea_nothofagi	lachancea_nothofagi	5086	5067	19
lachancea_quebecensis	lachancea_quebecensis	4672	4669	3
lachancea_thermotolerans	lachancea_thermotolerans	4808	4788	20
lachancea_waltii	lachancea_waltii	5216	5158	58
lipomyces_starkeyi	lipomyces_starkeyi	8889	8786	103
lodderomyces_elongisporus	lodderomyces_elongisporus	5924	5892	32
metschnikowia_aberdeeniae	metschnikowia_aberdeeniae	4807	4796	11
metschnikowia_arizonensis	metschnikowia_arizonensis	5892	5877	15
metschnikowia_bicuspidata	metschnikowia_bicuspidata	5241	5212	29
metschnikowia_borealis	metschnikowia_borealis	6574	6548	26
metschnikowia_bowlesiae	metschnikowia_bowlesiae	5826	5784	42
metschnikowia_cerradonensis	metschnikowia_cerradonensis	6801	6777	24
metschnikowia_continentalis	metschnikowia_continentalis	6668	6655	13
metschnikowia_dekortum	metschnikowia_dekortum	5408	5395	13
metschnikowia_drakensbergensis	metschnikowia_drakensbergensis	5078	5065	13
metschnikowia_hamakuensis	metschnikowia_hamakuensis	6342	6294	48
metschnikowia_hawaiiensis	metschnikowia_hawaiiensis	6220	6170	50
metschnikowia_hibisci	metschnikowia_hibisci	5119	5111	8
metschnikowia_ipomoeae	metschnikowia_ipomoeae	6107	6098	9
metschnikowia_kamakouana	metschnikowia_kamakouana	5586	5579	7
metschnikowia_kipukae	metschnikowia_kipukae	5084	5075	9
metschnikowia_lockheadii	metschnikowia_lockheadii	6718	6674	44
metschnikowia_matae	metschnikowia_matae	7279	7226	53
metschnikowia_matae_maris	metschnikowia_matae	7336	7291	45
metschnikowia_mauinuiana	metschnikowia_mauinuiana	6060	6053	7
metschnikowia_proteae	metschnikowia_proteae	5184	5162	22
metschnikowia_santaceciliae	metschnikowia_santaceciliae	6489	6480	9
metschnikowia_shivogae	metschnikowia_shivogae	4902	4897	5
metschnikowia_similis	metschnikowia_similis	5654	5629	25
meyerozyma_guilliermondii	meyerozyma_guilliermondii	5010	5003	7
millerozyma_acaciae	millerozyma_acaciae	4893	4887	6
nadsonia_fulvescens_var_elongata	nadsonia_fulvescens	5861	5826	35
nakaseomyces_bacillisporus	nakaseomyces_bacillisporus	4844	4830	14
nakaseomyces_bracarensis	nakaseomyces_bracarensis	5432	5416	16
nakaseomyces_castellii	nakaseomyces_castellii	4689	4680	9
nakaseomyces_delphensis	nakaseomyces_delphensis	5105	5095	10
nakaseomyces_nivariensis	nakaseomyces_nivariensis	5206	5190	16
nakazawaea_peltata	nakazawaea_peltata	5458	5448	10
naumovozyma_castellii	naumovozyma_castellii	5264	5209	55
naumovozyma_dairenensis	naumovozyma_dairenensis	5651	5603	48
ogataea_methanolica	ogataea_methanolica	5855	5805	50
ogataea_parapolymorpha	ogataea_parapolymorpha	4518	4510	8
ogataea_polymorpha	ogataea_polymorpha	4289	4272	17
pachysolen_tannophilus	pachysolen_tannophilus	5800	5768	32
pichia_membranifaciens	pichia_membranifaciens	4969	4945	24
priceomyces_haplophilus	priceomyces_haplophilus	4983	4973	10
saccharomyces_arboricola	saccharomyces_arboricola	5013	4983	30
saccharomyces_eubayanus	saccharomyces_eubayanus	5043	4993	50
saccharomyces_kudriavzevii	saccharomyces_kudriavzevii	4887	4857	30
saccharomyces_mikatae	saccharomyces_mikatae	4914	4881	33
saccharomyces_paradoxus	saccharomyces_paradoxus	5038	4967	71
saccharomyces_uvarum	saccharomyces_uvarum	5004	4970	34
saccharomycopsis_malanga	saccharomycopsis_malanga	6187	6166	21
saprochaete_clavata	saprochaete_clavata	6749	6743	6
scheffersomyces_lignosus	scheffersomyces_lignosus	6075	6067	8
scheffersomyces_stipitis	scheffersomyces_stipitis	5995	5943	52
spathaspora_arborariae	spathaspora_arborariae	5749	5746	3
spathaspora_girioi	spathaspora_girioi	6733	6396	337
spathaspora_gorwiae	spathaspora_gorwiae	6678	6401	277
spathaspora_hagerdaliae	spathaspora_hagerdaliae	6953	6625	328
spathaspora_passalidarum	spathaspora_passalidarum	5666	5656	10
sporopachydermia_quercuum	sporopachydermia_quercuum	5968	5957	11
starmerella_bombicola_JCM9596	starmerella_bombicola	4706	4704	2
sugiyamaella_lignohabitans	sugiyamaella_lignohabitans	6447	6417	30
tetrapisispora_blattae	tetrapisispora_blattae	5377	5367	10
tetrapisispora_phaffii	tetrapisispora_phaffii	5295	5254	41
tortispora_caseinolytica	tortispora_caseinolytica	4587	4578	9
torulaspora_delbrueckii	torulaspora_delbrueckii	4506	4492	14
vanderwaltozyma_polyspora	vanderwaltozyma_polyspora	5679	5623	56
wickerhamia_fluorescens	wickerhamia_fluorescens	5297	5289	8
wickerhamiella_domercqiae	wickerhamiella_domercqiae	4162	4155	7
wickerhamomyces_anomalus	wickerhamomyces_anomalus	6207	6131	76
wickerhamomyces_ciferrii	wickerhamomyces_ciferrii	6645	6630	15
yHAB132_kazachstania_martiniae_160519	kazachstania_martiniae	5708	5445	263
yHAB133_kazachstania_unispora_160519	kazachstania_unispora	5539	5419	120
yHAB134_kazachstania_turicensis_160519	kazachstania_turicensis	5937	5561	376
yHAB136_kazachstania_bromeliacearum_160519	kazachstania_bromeliacearum	5308	5229	79
yHAB143_kazachstania_siamensis_160519	kazachstania_siamensis	5180	5125	55
yHAB147_kazachstania_taianensis_160519	kazachstania_taianensis	5201	5161	40
yHAB148_kazachstania_intestinalis_160519	kazachstania_intestinalis	4961	4922	39
yHAB153_kazachstania_rosinii_160519	kazachstania_rosinii	5378	5239	139
yHAB154_kazachstania_transvaalensis_160519	kazachstania_transvaalensis	4897	4711	186
yHAB155_kazachstania_spencerorum_160519	kazachstania_spencerorum	6540	5437	1103
yHAB158_kazachstania_viticola_160519	kazachstania_viticola	5828	5316	512
yHAB159_kazachstania_solicola_160519	kazachstania_solicola	6019	5447	572
yHAB160_kazachstania_kunashirensis_160519	kazachstania_kunashirensis	5288	4999	289
yHAB164_kazachstania_aerobia_160519	kazachstania_aerobia	5221	5090	131
yHAB166_kazachstania_yakushimaensis_160519	kazachstania_yakushimaensis	5511	5107	404
yHMPu5000026124_ogataea_henricii_160519	ogataea_henricii	5567	5537	30
yHMPu5000026137_ambrosiozyma_ambrosiae_160519	ambrosiozyma_ambrosiae	6191	6165	26
yHMPu5000026142_citeromyces_matritensis_160519	citeromyces_matritensis	7868	6539	1329
yHMPu5000026145_ambrosiozyma_vanderkliftii_160519	ambrosiozyma_vanderkliftii	5988	5882	106
yHMPu5000026152_torulaspora_franciscae_160519	torulaspora_franciscae	5046	4472	574
yHMPu5000026197_brettanomyces_custersianus_160519	brettanomyces_custersianus	5062	5050	12
yHMPu5000026256_zygotorulaspora_mrakii_161215	zygotorulaspora_mrakii	4772	4757	15
yHMPu5000026274_komagataella_populi_160519	komagataella_populi	4885	4869	16
yHMPu5000034594_starmera_quercuum_160519	starmera_quercuum	5736	5619	117
yHMPu5000034597_candida_stellimalicola_160519	candida_stellimalicola	5226	5212	14
yHMPu5000034604_sporopachydermia_lactativora_160519	sporopachydermia_lactativora	6204	6037	167
yHMPu5000034605_spencermartinsiella_europaea_160519	spencermartinsiella_europaea	6401	6387	14
yHMPu5000034606_priceomyces_medius_160519	priceomyces_medius	5280	5256	24
yHMPu5000034607_saccharomycopsis_capsularis_160519	saccharomycopsis_capsularis	6736	6522	214
yHMPu5000034610_saturnispora_hagleri_160519	saturnispora_hagleri	5018	4988	30
yHMPu5000034611_saturnispora_mendoncae_160519	saturnispora_mendoncae	4657	4584	73
yHMPu5000034612_saturnispora_saitoi_160519	saturnispora_saitoi	4910	4839	71
yHMPu5000034613_saturnispora_serradocipensis_160519	saturnispora_serradocipensis	5005	4954	51
yHMPu5000034614_saturnispora_silvae_160519	saturnispora_silvae	4587	4579	8
yHMPu5000034615_saturnispora_zaruensis_160519	saturnispora_zaruensis	5023	4985	38
